taz_id,n
1091,5
1092,1
1093,6
1094,2
1095,0
1096,0
1097,4
1098,0
1099,0
1100,0
1101,12
1102,2
1103,0
1104,7
1105,16
1106,0
1107,11
1108,0
1109,5
1110,22
1111,8
1112,10
1113,7
1114,4
1115,6
1116,0
1117,0
1118,0
1119,0
1120,8
1121,0
1122,5
1123,0
1124,1
1125,0
1126,0
1127,0
1128,4
1129,7
1130,26
1131,19
1132,10
1133,5
1134,0
1135,3
1136,12
1137,0
1138,0
1139,0
1140,4
1141,7
1142,9
1143,3
1144,11
1145,0
1146,8
1147,6
1148,31
1149,2
1150,27
1151,3
1152,3
1153,4
1154,13
1155,4
1156,8
1157,0
1158,0
1159,3
1160,10
1161,0
1162,1
1163,6
1164,1
1165,0
1166,13
1167,33
1168,3
1169,10
1170,0
1171,3
1172,2
1173,4
1174,7
1175,0
1176,8
1177,0
1178,11
1179,22
1180,8
1181,0
1182,6
1183,4
1184,82
1185,6
1186,3
1187,9
1188,11
1189,4
1190,6
1191,3
1192,44
1193,0
1194,25
1195,19
1196,30
1197,18
1198,0
1199,6
1200,2
1201,0
1202,5
1203,4
1204,0
1205,3
1206,1
1207,3
1208,4
1209,13
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,2
1217,3
1218,0
1219,4
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,0
1227,4
1228,0
1229,7
1230,0
1231,7
1232,0
1233,12
1234,0
1235,0
1236,0
1237,0
1238,15
1239,13
1240,5
1241,14
1242,13
1243,0
1244,17
1245,3
1246,11
1247,0
1248,5
1249,0
1250,0
1251,1
1252,15
1253,3
1254,31
1255,0
1256,22
1257,2
1258,4
1259,8
1260,37
1265,1
1266,1
1267,3
1268,2
1269,1
1270,9
1271,0
1272,0
1273,9
1274,8
1275,10
1276,35
1277,7
1278,32
1279,37
1280,17
1281,8
1282,1
1283,0
1284,0
1285,0
1286,2
1287,1
1288,0
1289,13
1290,2
1291,1
1292,5
1293,4
1294,0
1295,0
1296,10
1297,12
1298,20
